Darija_Arabe,Anglais
عندي بطارية ميتة.,I have a dead battery.
شحال من محطة دالطوبيس خاصني نرجع عليها؟,How many bus stops do I need to go back?
هاد الشي ماشي صحيح.,This is not true.
لا، عافاك ماتقيسش. هادا للاستعمال الشخصي ديالي.,"No, please dont touch it. This is for my personal use."
بغيت نكري طوموبيلة مجهزة بالاتصال اوتوماتيكي، عافاك.,"I want to rent a car equipped with automatic connectivity, please."
واش يمكن لي ننزل للأوطيل؟,Can I go down to the hotel?
بطانية أخرى، عافاك.,"Another blanket, please."
بغيت نحجز غرفة لتلاتة وعشرين وربعة وعشرين شتنبر.,I want to book a room for the 23rd and 24th of September.
فين كاين أقرب مصور؟,Where is the nearest photographer?
قطع تلج، عافاك.,"Ice cubes, please."
يمكن ليك تاخدو غيرمورا هاد الباب.,You can take it just behind this door.
جواز السفر ديالي ضاع. مالقيتش جواز السفر ديالي فباليزتي. خاصني غدا مع الصباح نمشي لطوكيو.,My passport is lost.
بغيت ندير الحجز للستة دهاد العشية.,I want to make a reservation for six this evening.
اوقف فالتقاطع الجاي.,Stop at the next intersection.
واش تقدر تجيب ليا طبق آخر؟,Can you bring me another plate?
شحال التمن باش نمشي من هنا للمحطة الجنوبية؟,How much does it cost to go from here to the southern station?
أوه، ها هو. وواش كل واحد يعمر استمارة البيان الجمركي؟,"Oh, here it is. Does everyone need to fill out the customs declaration form?"
واش نقدر نشوف هاد الحوالق؟,Can I see these items?
بغيت نمشي فحالي فأقرب وقت ممكن.,I want to leave as soon as possible.
واش تقدر تلقى ليا بلاصة موالمة للغوص؟,Can you find me a suitable place for diving?
الاسم والرقم ديال الشخص ديالك، عافاك.,"The name and number of your person, please."
اخديت القطار ديال الطناش وخمسة وخمسين دقيقة اللي خرج من سان دييغو.,I took the 12:55 train that departed from San Diego.
تقدر تخبرني باسميتك عافاك؟,"Can you tell me your name, please?"
مالقيت حتى صابون.,I didnt find any soap.
ياك ما غادي نزعجك إذا درت مكالمة على حساب المتلقي؟,"I wont bother you if I make a collect call, right?"
وقتاش غادي يمشي القطار التالي لشيكاغو؟,When will the next train to Chicago leave?
مرحبا. كي داير؟,Hello. How are you?
بغيت ندير مكالمة لليابان ببطاقة الائتمان، عافاك.,"I want to make a call to Japan using a credit card, please."
تعرضت لاعتداء فواحد القنت ديال بيشوالك. عافاك إلا ماتجي بالزربة.,I was assaulted in a corner of the neighborhood. Please dont come in a rush.
فالبداية خاصني نشكرك بزاف على البرنامج الرائع اللي وجدتي ليا.,"In the beginning, I must thank you a lot for the amazing program you prepared for me."
فين هو قسم السفر؟,Where is the travel section?
بالطبع هاد القاع يقدر يوسع أولا يضيق كيف ما بغيتي.,"Of course, this space can expand or shrink as you wish."
آشنو غادي يتلعب هاد السيمانة؟,What will be played this week?
مع الحامض إلا كان عندك، والسكر.,"With lemon, if you have it, and sugar."
واش تقدر اتعاوني نهز هاد الباليزة؟,Can you help me carry this suitcase?
هادا علاج للهضم كنستعملو ديما.,This is a remedy for digestion that we use regularly.
لا، بلحاق إلا بغيت تستعمل ديك الخزانة، غادي تكلفك جوج دولار. عافاك ادفعها فالاستقبال.,"No, actually, if you want to use that locker, it will cost you two dollars. Please pay at the reception."
بغيت يكون فيه الخس، لحم الخنزير والجبن.,"I want it to have lettuce, pork, and cheese."
كيفاش يمكن لي نرجع لتما؟,How can I go back there?
اشنو اسمية الشخص اللي تبغي تهضر معاه؟,What is the name of the person you want to talk to?
كتمشي للمدرسة بالقطار كل نهار.,She goes to school by train every day.
بغيت شوية دالسكر، عافاك.,"I want some sugar, please."
منين كتبدا هاد الجولة؟,When does this tour start?
آش من دورة تكوينية للمبتدئين؟,Which training course for beginners?
تقدر تكتب ليا التقرير؟,Can you write the report for me?
أنا آسف، را ما كاينش دابا.,"Im sorry, its not available right now."
ماكاين مشكل. عندنا الوقت كلو.,No problem. We have all the time.
دخلات شي شقيفة صغيرة فصبعي. يمكن ليك تعطيني ملقط، عافاك؟,"A small splinter got into my finger. Can you give me tweezers, please?"
شحال درجة الحرارة؟,What’s the temperature?
كنضن كاين شي غلط.,I think theres a mistake.
كيفاش بغيتي تخلص، بالفلوس أو لا بالبطاقة؟,"How do you want to pay, with cash or card?"
تقدر تزيد تتسنى شوية؟,Can you wait a bit longer?
يمكن ليك تعمر هاد الاستمارة دالتأمين الصحي؟,Can you fill out this health insurance form?
اشكون اللي أكتار شعبية؟,Who is the most popular?
شوف هاد الشي. شوف هاد الشي. غادي تقول لي باللي الفرق بين هاد الرجل وهادا هو الزهر؟ تقدر تتوقف آمحمد؟ ماغاديش تنزعج إلا خليتك هنا؟ أنا تعطلت. صاحبي، فرحت بلقائك، صافي؟,"Look at this. Look at this. Are you going to tell me that the difference between this man and that one is luck? Can you stop, Mohamed? You won’t mind if I leave you here? I’m late. My friend, I was happy to meet you, alright?"
شكرا ليك.,Thank you.
شكرا ليك حيت ساعدتيني.,Thank you for helping me.
من اتمنية لاتمنطاش.,From eight to eighteen.
واش عندك نفس الشي فالقهوي غامق؟,Do you have the same thing but in dark coffee?
على حسب التوقيت.,Depending on the timing.
وقتاش غادي يرجع؟,When will he return?
واش الغرفة ديالك كتطل على المدينة؟,Does your room overlook the city?
محتاج لجواز السفر ديالي.,I need my passport.
فرحان حيت تلاقيتك.,Happy because I met you.
ضيعت تذكرة الطيارة.,I lost the plane ticket.
بغيت نجرب نفس ما خدا داك الراجل فديك الطابلة.,I want to try the same thing that man took at that table.
عافاك خدم ليا ساروت البطاقة ديالي.,Please make a key for my card.
بصراحة، أنا جاتني عادتي الشهرية. كاين شي مشكل؟,"Honestly, I got my period. Is there a problem?"
هاد الشي وقع مابين شارينغ كروس و غرين بارك.,This happened between Charing Cross and Green Park.
حدك تما.,Stay there.
كاينة شي رسائل ليا؟,Are there any messages for me?
شكرا ليك. نقدر ناخد توصيل، عافاك؟,"Thank you. Can I get a ride, please?"
تقدر تعلمو على هاد الخريطة؟,Can you explain this map?
الواحدة و اربع دقايق ديال الزوال.,One oclock and four minutes in the afternoon.
عافاك ارسم خريطة هنا.,Please draw a map here.
يمكن ليك تصلحو؟,Can you fix it?
باقي غالي بزاف. واش ما يمكنليش ناخدو بتلاتة دولار؟,Still too expensive. Can I take it for three dollars?
هانتا كتشوف، ما دالحمام ماسخونش كفاية.,"Here you see, the water in the bathroom isnt hot enough."
بغينا غرفة فالخلف.,We want a room in the back.
بغيت ناخد كاس دالخمر.,I want to have a glass of wine.
واش تعطيني شي مهدئ دلوجع؟,Can you give me a painkiller?
احنا هنا للزيارة. ولدنا كيعيش فسياتيل.,We are here for a visit. Our son lives in Seattle.
إلا واجد، بغيت شي واحد أوتوماتيكي.,"If its ready, I want an automatic one."
هاد السماعة ما خداماش مزيان. يمكن ليك تعطيني واحدة أخرى؟,This headset is not working well. Can you give me another one?
كتبان ازوين.,The book is beautiful.
واش كاينينشي موتيلات قراب من هنا؟ عافاك ارسم لي خريطة.,Are there any motels nearby? Please draw me a map.
"""واش باقي عندك تذاكر ل""""بيغ ريفر"""" لهاد الليلة؟""","""Do you still have tickets for Big River for tonight?"""
كيبانو تقريبا بحال بحال.,They looked almost the same.
انتا ازوين.,You are handsome.
أش من توب هاد البذلة؟,What fabric is this suit?
ساعتين قبل المغادرة.,Two hours before departure.
بغينا نتقاسمو هاد الطلب بيناتنا بتلاتة.,We want to split this request among the three of us.
بغيت غرفة مزدوجة. شحال تمنها لليلة وحدة؟,I want a double room. How much is it for one night?
شي فاكهة، عافاك.,"Some fruit, please."
راه مهم.,Its important.
عافاك خليهوم على برا.,Please leave them outside.
راه تقريبا تسعود وتسعين ميل.,Its approximately ninetynine miles.
مسا الخير. عندي موعد مع الدكتور دريل اليوم فالتلاتة، سمح ليا غادي نتعطل شوية، واش هانية؟,"Good evening. I have an appointment with Dr. Daryl today at three. Sorry, I’ll be a bit late. Is that okay?"
عندك شي حاجة بالسوارت؟,Do you have something with keys?
مقاعد إس تحجزو، بلحاق باقي عندنا مقاعد إي .,"Seats S are booked, but we still have seats E."
بغينا نتشاركو هاد الماكلة. واش تقدر تجيب طباسل صغار؟,We want to share this food. Can you bring small plates?
كنحس بمعدتي مريضة.,I feel like my stomach is upset.
فينس وليندا بغاو يبقاو بوحدهوم، إذن سمح ليا غادس نبقى هنا هاد الليلة.,"Vince and Linda want to stay alone, so excuse me, I’ll stay here tonight."
عافاك خلي هاد الأمتعة مربوطة.,Please keep this luggage tied.
خفض التمن.,Lower the price.
اسميتي ساتو.,My name is Sato.
واش نقدر نهضر مع عامل مكالمات ياباني؟,Can I talk to a Japanese call operator?
بغيت نعرف تكلفة الاتصال الهاتفي لنيويورك.,I want to know the cost of a phone call to New York.
هاد الشي ماشي صحيح، سمح ليا. باش نقولك باللي إلا ركبتي المترو من هنا غادي تركبو على مسؤوليتك، راني قولت.,"This is not true, sorry. To tell you that if you take the metro from here, you do so at your own risk, I’ve said it."
"""لهادوك اللي سالاو الخدمة """"شكرا ليكم بزاف"""" كتعبير عن الامتنان .""","""For those who finished the work: Thank you very much as an expression of gratitude."""
هربو بعقد من الجوهر وشي حوايج اخرى غالية.,They fled with a jewelry contract and some other expensive items.
كنعرف نادي قديم دالجاز فالمدينة.,I know an old jazz club in the city.
غادي ناخد هاد الوجبة الرئيسية.,I will take this main dish.
تقدر توريني الطريق للسبيطار؟,Can you show me the way to the hospital?
بغيت ندوق طبق بحال هادا.,I want to taste a dish like this.
بغيت نمشي لتاورأوف لندن.,I want to go to the Tower of London.
بغيت نهبط هنا.,I want to get off here.
واش يمكن ليا نحصل على شهادة طبية؟,Can I get a medical certificate?
هاهي نسخة من التذكرة ديالي.,Here is a copy of my ticket.
راها طوموبيلة صغيرة زرقا، لوحة الترقيم كيه ايه واي تلاتة واحد خمسة ورقم التسجيل بي ار آي ربعة خمسة ستة زيرو.,"Its a small blue car, license plate KAY 315, registration number PRI 4560."
واش تعطيني شي تخفيض صغير؟,Can you give me a small discount?
واش كاتلعب شي رياضة؟,Do you play any sport?
الطلب مرتفع على هاد النوع من طرف المهتمين.,The demand for this type is high among those interested.
عندنا فيشات وقواطع كهربائية دبلادنا، بلحاق ماعندناش المحولات. كنقترح عليك تمشي لمحل متخصص فبيع الأغراض للسياح.,"We have plugs and circuit breakers in our country, but we dont have adapters. I suggest you go to a shop specialized in selling items for tourists."
من بعد احنا غادي ناخدوه.,"Afterward, we will take it."
يمكن لي نشوفك غدا فالعشية؟,Can I see you tomorrow in the evening?
واش هاد الشي كيوصل للطابق السادس؟,Does this reach the sixth floor?
من جلد التمساح؟,From crocodile skin?
رد بالك.,Be careful.
جوج كريما دماطيشة، عافاك.,"Two tomato creams, please."
واش هو قريب؟ أو لا بعيد بالمشي؟,Is it close? Or far by walking?
عافاك حطو فكيس ديال الغسيل وخليه تما.,Please put it in the laundry bag and leave it there.
بغيت نخرج تصاور هاد الفيلم. وقتاش يكونو واجدين؟,I want to print photos from this film. When will they be ready?
نعم. بغيت جوج تذاكر لستريتكارنيميد ديزير. واش عندك شي تذاكر لعرض هاد الليلة؟,Yes. I want two tickets for Streetcar Named Desire. Do you have any tickets for tonights show?
واش هادي هي الرحلة الصحيحة؟,Is this the correct trip?
عافاك ماتعطي هاد الساروت حتى لشي واحد من غيري.,Please dont give this key to anyone except me.
دير شي تمارين اخفيفة ودير التدليك للجسم ديالك من بعد ما تاخد الحمام كل نهار.,Do some light exercises and massage your body after taking a shower every day.
كاين غير مخرج واحد.,There is only one exit.
واخا. غادي نقلب ليك فالأوطيل ديالك مع التمنية.,Alright. I’ll check your hotel at eight.
النافذة مزيانة.,The window is nice.
خلي تسريحة شعري هابطة، عافاك.,"Leave my hairstyle down, please."
واش مصاريف النقل داخلين؟,Are transportation costs included?
سمح ليا مافهمتيش التواريخ.,"Sorry, I didnt understand the dates."
متروبوليتان أوبرا هاوس.,Metropolitan Opera House.
صاحبي غادي يجي مورايا هنا، إذن صافي.,"My friend will come after me here, so thats it."
هاد الغرفة فيها الصداع بزاف.,This room is very noisy.
ما عنديش الشجاعة نلبس شي حاجة بحال هكدا.,I dont have the courage to wear something like this.
فين هو مكتب اكريطوموبيل؟,Where is the car rental office?
الشجر دجينكو زوين بزاف منين الوراق ديالو كيصفارو فالخريف.,Ginkgo trees are very beautiful when their leaves turn yellow in the fall.
عندي حفلة هاد الليلة، إذن صاوب ليا شعري، عافاك.,"I have a party tonight, so please do my hair."
واش سولتيني إذا كنا ايرين فبالنا نبداو نبيعو المنتوجات ديالنا فالولايات المتحدة؟,Did you ask me if we were thinking about starting to sell our products in the United States?
كانت فيا السخانة من البارح.,I had a fever since yesterday.
ماشي على ذوقي.,Not to my taste.
كيفاش كتتنطق السمية دهاد البلاصة؟,How is the name of this place pronounced?
عافاك سحبو ليا من الماستر كارد ديالي.,Please withdraw it from my MasterCard.
اشنو هو مقدار الميزانية دالإشهار ديالك؟,What is your advertising budget?
فين كاينين المراحيض؟,Where are the restrooms?
بغيت ننعس.,I want to sleep.
اشمن خضرة عندك؟,What vegetables do you have?
بغيت شي بيرمانونت خفيف، عافاك.,"I want a light snack, please."
وقتاش غادي يجي الطبيب؟,When will the doctor come?
سمح ليا بيتأخر شي تلاتة دقايق.,"Sorry, I might be late by about three minutes."
راه اللون غالط.,The color is wrong.
السنة تهرسات.,The year is ruined.
واش مقعد الممر أو لا مقعد النافذة؟,Window seat or aisle seat?
مايمكنش ليك تدير الريجيم مع هاد الهيئة الضعيفة اللي عندك.,You cant go on a diet with that slim figure you have.
غادي نتأخر خمسة الدقايق على الاجتماع.,I will be five minutes late to the meeting.
بالسمية دالمحل، عافاك. غادي نحتاجو فطلب التأمين ديالي.,"The name of the shop, please. I will need it for my insurance application."
داك الشي للاستعمال الشخصي ديالي.,Thats for my personal use.
بغيت شي بلاصة كيقدموفيها الأكل المحلي.,I want a place that serves local food.
بغيت واحد تريبود، عافاك.,"I want a tripod, please."
بغيت شي صاك ارخيص.,I want a cheap bag.
جاني على غفلة وجع اصعيب دالضهر.,I suddenly felt severe back pain.
أنا كانتمشى.,I am walking.
بغيت نمشي فحالي فأقرب وقت ممكن. كاين شي رحلة قريبة؟,I want to leave as soon as possible. Is there a nearby trip?
شكرا ليك على كل النصائح. انتا ضرييف.,Thank you for all the advice. You are kind.
واش يمكن ليك اتوصل الأمتعة ديالي للغرفة؟,Can you deliver my luggage to the room?
إينا نوع من النماذج تبغي؟,What type of models do you want?
أشنو بخصوص عشرة دالجنيهات لتلاتة؟,What about ten pounds for three?
كمل فهاد الشارع حتى توصل للحديقة الصغيرة.,Continue on this street until you reach the small park.
بغيت داك الشي.,I want that.
اشنو اللون اللي فبالك؟,What color are you thinking of?
بغينا ناخدو طاولة قريبة من النافذة.,We want to take a table near the window.
أنا آسف، بلحاق كلهوم تباعو.,"Im sorry, but they are all sold out."
وريني شي واحد يناسب مرا شابة.,Show me someone suitable for a young woman.
إذن أي حاجة جديدة عليك، ياك؟,"So, anything new with you?"
نقدر نشوف حولنا؟,Can I look around?
أم، إينا جوانب خاصة بهاد البلاد كتهتم بها انتا؟,"Mother, which aspects of this country do you care about?"
نقدرو نحتافضو بالغرفة ديالنا لمدة تلاتين دقيقة من بعد وقت المغادرة؟,Can we keep our room for thirty minutes after the checkout time?
آسف، هاد الرقم غالط.,"Sorry, this number is incorrect."
أكبرطاولة، عافاك.,"The largest table, please."
طبعا. راه والو. ما تزعجشي راسك بداك الشي. نتمنى تكون راد بالك المرة الجاية.,Of course. Its nothing. Dont bother yourself with that. I hope youll be more careful next time.
واخا توريني كيفاش نشعل الضو؟,Can you show me how to turn on the light?
عافاك وريني داك الشي اللي معروض.,Please show me what is on display.
يمكن ليك تجي لهنا؟,Can you come here?
كاين شي تغيير فالتوقيت ديالنا؟,Is there any change in our schedule?
غادي نسيربي.,I will go.
واش عندك شي حاجة بتمانين دولار بالضبط؟,Do you have something for exactly eighty dollars?
أكترية الزناقي ما عندهوم لا اسمية لا رمز. داك الشي علاش اصعيب بزاف باش توصل للوجهة ديالك بهاد العنوان.,"The majority of streets have neither names nor signs, which is why its very difficult to reach your destination with this address."
راه فنان مخادع. داك الشي علاش، خاصك ترد بالك عافاك.,"Hes a deceitful artist. Thats why you need to be careful, please."
عافاك اعطيني كريم سانتان.,Please give me whipped cream.
عافاك اتصل لي بشي طاكسي.,Please call me a taxi.
واش هو منعش؟,Is he excited?
شحال كايتكرى ملعب للساعة؟,How much does it cost to rent the field per hour?
غادي نعطيك جوج دولار باش يرجعو ليا مياتاين دولار.,I will give you two dollars to get two hundred dollars back.
اعطشت.,Im thirsty.
واش على اليسار أو لا على اليمين؟,Is it on the left or on the right?
بغيت سروال.,I want pants.
بغيت غيرندير شي نزاهة نرتاح فيها.,I just want to go on a picnic to relax.
يمكن لي نعمرو؟,Can we fill it?
شحال التمن باش نصيفطو بالبريد الجوي لليابان؟,How much does it cost to send by airmail to Japan?
واش نقدر نحصل على جوج كرطونات دسيفن ستار؟,Can I get two cartons of Seven Star?
بلاحليب، عافاك.,"No milk, please."
واش كتعرف رقم التذكرة ديالك، وكالة السفر، تاريخ الإصدار وطريقة الدفع؟,"Do you know your ticket number, travel agency, issue date, and payment method?"
شحال تمن الغرفة لليلة وحدة؟,How much is the room for one night?
راك اربحتي. خمسة غادي يكونو احسن.,You won. Five will be better.
بغيت نرجع للأوطيل باش نلقى الكاميرا ديالي.,I want to go back to the hotel to find my camera.
راها مسألة حياة أو موت.,Its a matter of life or death.
خاصك تشد طاكسي، حيت ماكايناش وسائل النقل العام.,You need to take a taxi because there is no public transportation.
راهوم اطناشر فرقة دالبيسبول فاليابان.,There are twelve baseball teams in Japan.
فالبلوك التالت على اليسار ديالك.,In the third block on your left.
بغيت ندوز اتصال لطوكيو من محطة لمحطة، عافاك.,"I want to make a call to Tokyo from station to station, please."
بغيت نتلاقا.,I want to meet.
ماغاديش تلعب معايا التنس الأسبوع الجاي؟,Arent you going to play tennis with me next week?
واش نركبو فهاداك؟,Should we ride in that?
اسمح ليا. كانقلب على جاكيت دالجلد.,Sorry. Im looking for a leather jacket.
واعلى وجبة كبيرة.,What a big meal.
إينا محل دلحوايج تنصحني بيه؟,Which store do you recommend to me?
نقدر نحصل على فطيرة الحم، ونلغي طلب شريحة اللحم اللي درت؟,Can I get a meat pie and cancel the steak order I made?
بغينا نلعبو جولة بتلاتة بينا . شحال تمنها؟,We want to play a round for three of us. How much does it cost?
غادي نوصلو تلاتين دقيقة قبل.,We will arrive thirty minutes early.
شكرا ليك على اتصالك.,Thank you for your call.
سيجارات، عافاك، إلا عندك شي واحد. بشحال؟,"Cigarettes, please, if you have one. How much?"
بغيت شي اتصال دلفياق.,I want a wakeup call.
شكون فيهوم جانغوفرو؟,Which one of them is Django?
يمكن ليك تديرو فنص ساعة؟,Can you do it in half an hour?
بغيت خريطة طريق الطوبيس، عافاك.,"I want the bus route map, please."
انتا المسؤول على الحادثة.,You are responsible for the accident.
سير نيشان فهاد الزنقة حتى تفوت خمسة شوارع، وراه كاينة تما صيدلية فالقنت. منين توصل لتما دور على اليمين. وغادي تشوفو غير على اليسار ديالك.,"Go straight on this street until you pass five blocks, and there’s a pharmacy on the corner. When you get there, turn right. You’ll see it just on your left."
عافاك اهضر بشوية.,Please speak slowly.
اشنو غادي تعرض الأسبوع الجاي، عافاك؟,"What are you going to present next week, please?"
كانخططو ناخدو تسعود دالسوايع.,We’re planning to take nine hours.
أنا متشوق نشوف تبديل الحرس.,I’m excited to see the changing of the guard.
واو. كل واحد كيشطح فحال الاحمق.,Wow. Everyone is dancing like a fool.
نقدرو نبقاو لداخل، حيت معانا دري؟,Can we stay inside because we have a kid with us?
اشنو واقع فالمسرح الوطني؟,Whats happening at the national theater?
يمكن لي ناخد غرفة لهاد الليلة؟,Can I get a room for tonight?
نعم، جبت مونيكة يابانية لصاحبي.,"Yes, I brought a Japanese doll for my friend."
فين كاين مكتب الخطوط الجوية اليابانية؟,Where is the Japan Airlines office?
شحال ازوين هاد الحفل. عجبك؟,How beautiful is this party. Did you like it?
بغيت نسسجل هاد الغرض.,I want to register this item.
تشرفت بمعرفتك، حتى أنا، بوبي. تبغي تمشي تعوم معانا؟,"Pleasure to meet you, me too, Bobby. Do you want to go swimming with us?"
عندي تلاتة دالصيكان.,I have three bikes.
فينا هي البحيرة؟,Where is the lake?
مابغيتش ناكل دابا.,I dont want to eat now.
بغيت البيض مقلي.,I want fried eggs.
عافاك وسع قياس الخصر بتلاتة سنتمترات.,Please widen the waist measurement by three centimeters.
كانقلب على شي تذكار مزيان من لاس فيغاس.,Im looking for a nice souvenir from Las Vegas.
هاد الشي ماشي هو اللي طلبت.,This is not what I asked for.
فين كاتقرا؟ واش كتقرا هنا فالغرفة؟ أو لا كاتمشي للمكتبة؟,Where do you study? Do you study here in the room? Or do you go to the library?
اسمح ليا. تكي على زر الكاميرا، عافاك.,"Excuse me. Press the camera button, please."
ياه، بلحاق ماصدقتيش مصواب، ياك؟,"Yeah, for real, you didnt believe it was true, right?"
بغيت عدسات جداد.,I want new lenses.
محتاج شوية لوقت اكتار.,I need a bit more time.
وقتاش غادي يبدا العرض؟,When will the show start?
غادي ناخد هاداك.,I will take that.
بغيت نتقضى فهاد المدينة. تقدر تنصحني بشي محل شامل أو لا بشي مركز تجاري؟,I want to shop in this city. Can you recommend a comprehensive store or a shopping center?
مابقاليش بزاف دلوقت. واش غادي ياخد وقت طويل؟,I dont have much time left. Will it take long?
هادي أعاصير. غير كاتضرب اليابان كاتسبب فالكوارث.,"These are hurricanes. When they hit Japan, they cause disasters."
واخا نحصل على شي مجلة أو لا شي حاجة بحالها؟,Can I get a magazine or something similar?
كنضن غانديرو. غادي نتأكد ونرجع.,I think we’ll do it. I’ll confirm and get back.
قول لي، سيد موريتا، واش مراتك مرافقاك هنا فنيويورك؟,"Tell me, Mr. Morita, is your wife accompanying you here in New York?"
بدل القطارات فالمحطة التالية.,Change trains at the next station.
أش من طوبيس كيمشي للمحطة المركزية؟,Which bus goes to the central station?
ياللاه تزوجنا يومين هادي.,We just got married two days ago.
بغيت نسخة من لي ريديرز الف وتسعمية وربعة وربعين موديل مية وواحد.,I want a copy of the 1944 Model 101 Readers.
راه فالجنوب.,He is in the south.
اسمح ليا. واش باقي معطل الأكل ديالنا؟,Excuse me. Is our food still delayed?
كانفضل الماكلة الإيطالية.,I prefer Italian food.
شحال كتسوى مقاعد الشرفة؟,How much are the balcony seats?
يمكن ليك اتسول فمكتب الاستعلامات اللي تما، إلا كنتي ضيعتيه.,You can ask at the information desk there if you lost it.
واخا تغلف ليا هادو امفارقين؟,Can you wrap these separately for me?
دابا شوية غادي تقلع الطيارة. عافاك تأكد باللي حزام السلامة مثبت مزيان.,The plane will take off shortly. Please make sure your seatbelt is securely fastened.
نعم، بلحاق عافاك ماتخليهومشيمشيو للعمق أولا للجاكوزي.,"Yes, please make sure they dont go to the deep end or the jacuzzi."
وقتاش بطولة العالم؟,When is the World Championship?
بغينا غرفة كتطل على البحيرة.,We want a room overlooking the lake.
واش كاين شي صنادق البريد قريبة من هنا؟,Are there any mailboxes nearby?
لغيت نشري حامل الوثائق.,I canceled buying the document holder.
فين مشيتي؟,Where did you go?
كون لحيت اكتار، كون اخديتو بتمن أقل.,"If you had bought more, you would have gotten it for a lower price."
إينا واحد بغيتي، اللي بخمسة دلجنيهات أو لا عشرة؟,"Which one do you want, the one for five pounds or ten?"
كانحس براسي امريض. فين هو طبيب السفينة؟,I feel sick. Where is the ships doctor?
جيت من اليونان.,I came from Greece.
غاتناسب ذوقك؟,Will it suit your taste?
وقتاش كتحل؟,When do you open?
كاين واحد مورا هاد القاعة.,There is someone behind this room.
غادي نبقى مع صاحبي هاد الليلة.,I will stay with my friend tonight.
سمح ليا الحساب ديالك مسحوب منه اكتر من المفروض.,"Sorry, your account has been overdrawn more than it should be."
راها عشرين من بعد ربعة.,Its twenty past four.
دقيق الشوفان وجوج بيضات، مع النقانق، وأتاي بالحليب.,"Oatmeal and two eggs, with sausages, and tea with milk."
واخا. غادي نديك لتما.,Alright. I will take you there.
هادا هو عنوان الأوطيل ديالي ورقم التلفون. تقدر تتصل بيا منين تلقى الصاك ديالي؟,This is the address of my hotel and my phone number. Can you call me when you find my bag?
واش تفضل طاولة فجهة المدخنين أولا غير المدخنين؟,Do you prefer a table in the smoking or nonsmoking section?
الجزء المكتوب بخط مايل كايبين التغييرات اللي وقعات فالتسعينات دالقرن الماضي.,The part written in italics shows the changes that occurred in the 1990s of the last century.
بغيت ناكل بزاف دلخضرا اليوم.,I want to eat a lot of vegetables today.
عمرو تلاتين عام.,He is thirty years old.
عندي بطاقة الهوية. واخا رخصة السياقة؟,I have an ID card. What about a drivers license?
نص نهار تلاتين دولار. نهار كامل خمسين دولار.,Half a day: thirty dollars. A full day: fifty dollars.
لوح ركوب الأمواج كايكلف خمسة وعشرين دولار لمدة ساعتين وربعين دولار النهار كلو.,A surfboard costs twentyfive dollars for two hours and forty dollars for the whole day.
الحال دافي بزاف. واش عدلتي مكيف الهواء؟,The weather is very warm. Did you adjust the air conditioner?
اشنو هو سعر صرف الين اليوم؟,What is the exchange rate of the yen today?
معاك سوجيتا من اغرفة اطلطاش عشرين. عاد وصلت، بلحاق هاد الغرفة اصغر من اللي كنت كنتوقع. نقدر نبدل الغرف؟,"This is Sujita from room 1320. I just arrived, but this room is smaller than I expected. Can I change rooms?"
واخا. واش يمكن ليك اتعاود تكتب العنوان على هاد المغلف؟,Okay. Can you rewrite the address on this envelope?
واش طوبيس الشارع الخامس كيوقف هنا؟,Does the Fifth Street bus stop here?
عندي الفلوس اللي يكفاو لوجبات تلتيام.,I have enough money for three days meals.
بغيت نمشي لهارود. تقدر ترسم ليا خريطة؟,I want to go to Harwood. Can you draw me a map?
منين يمكن ليا نشري شي سلع تقليدية؟,Where can I buy traditional goods?
اشنو كتدير منين كيكون عندك الوقت خاوي؟,What do you do when you have free time?
كيفاش ندير اتصال للخارج؟,How do I make an international call?
اشناهوما الرياضات الأكتر شعبية فاليابان؟,What are the most popular sports in Japan?
عندك شي حجر لهاد الكاميرا؟,Do you have a lens for this camera?
تقدر اتفاكسي ليا خريطة باش نوصل للمكتب ديالك؟,Can you fax me a map to get to your office?
وجدتي طلبك، آلالة؟,"Did you find your request, maam?"
كانصحوك تدير جولة لمدينة بوسطن. غادي تكون فرصة تشوف البلايص المهمة فبوسطن.,I recommend you take a tour of Boston. It will be an opportunity to see the important places in Boston.
كنحاول نحدد هاد العنوان اللي على هاد البطاقة.,Im trying to identify this address on this card.
مرحبا. واش هادا تأمين بوسطن؟,Hello. Is this Boston Insurance?
واش كاين فهاد الأوطيل شي صالون دالتجميل؟,Is there a beauty salon in this hotel?
كانت وجبة لديدة.,The meal was delicious.
دابا راه خسر كلشي.,Now everything is lost.
آش من جزء فالنمسا؟,Which part of Austria?
بغيت واحد الكابل للتصوير عن بعد.,I want a remote photography cable.
واش انتا الأخير فهاد الصف؟,Are you the last in this line?
فين غادي هاد القطار؟,Where is this train going?
كنضن باللي كاين اكتظاظ فالحجز.,I think there is overcrowding in the booking.
رمية مزيانة. بلحاق جات برا.,A good throw. But it went out.
نقدر نستعمل التلفون؟,Can I use the phone?
اشنو هو أقصى طول للطرود البريدية؟,What is the maximum length for postal parcels?
بغيت داك الشي مع التمنية وتلاتين.,I want that thing with thirtyeight.
يمكن ليك تقول لي البلايص المهمين هنا؟,Can you tell me the important places here?
واش كاين شي محلات شاملة قريبة من هنا؟,Are there any convenience stores nearby?
طاولة لجوج، عافاك.,"A table for two, please."
يمكن ليك تقول لي واش كاينين مطاعم مأكولات بحرية مزيانة غير هنا؟,Can you tell me if there are any good seafood restaurants around here?
