english,darija
"You deserve all the best, I miss you so much. 😘😘😘😘😘😘😘😍😍😍😍","Tstahli koule khair kanhma9 3lik , , 😘 😘 😘 😘 😘 😘 😘 😍 😍 😍 😍"
"God bless you, my family.",tbarka allah 3lik ahalima
Great,Tooooooooooooop
"Sister Halima, if I don't find that specific brand of box chocolate, what can I use instead? Can I use any brand of box chocolate?",Khti halima dak choklat dyal boita ila mal9itch dik lmarka achno ndir fblasto momkin ndir ay choklat dyal boita
"God bless you, my sister.",Tbarka Allah 3lik okhti
"Well done, Halima. God bless you.",Top top halima tbarkalah 3lik
"Congratulations, well done Halima, happy birthday!",Tbarklah machalah 3lik halima mbark 3wachrk
Thank you for the roster.,Merci pour la roster
"Don't waste your energy, leave their situation to God to take revenge on them.",Ne perd pas ton énergie salli wad3ihoum lilah yanta9ame manhome .
"Here's the English translation:

How are you, my sisters? I hope you're doing well. People only sent me this much. May God be with Darwich.",Achman chahiwat à khi wach lghla l3fya cha3la nass ba9t lihom rir had chi lah ykon m3a darwich
Go ahead,RMA ⚪
"May God give you health, sister Halima. Please, is it possible to put a layer of floors in this dessert?",3tak allah saha akhti halima 3afak Wach hade dessere momkine ndiro kika dyal taba9ate
"Yes, if you want to order it, they ship to Italy.",Bghi tnswlk a khti wach ila bghit nkomondi 3liha wach tatssifti l Italia ?
"Here is the English translation:

The first thing I like about you is when I listen to your video ❤",Awal j & # 39 ; aime mn 3ndi kantsna fla vidio dyalk ❤
Please give me 2 kilograms of vegetables.,3afak 2kilo chhal dlma9adir ndir
"The TV doesn't keep recorded videos, unlike YouTube. Whenever we want to watch a video, please sister Halima, we must put videos on YouTube. But the TV is difficult, and at that time we are preparing breakfast, not watching all together. The phone ruins that, and you work.",Aslane tlfaza makayb9awch vidyowat msjline machi bhal lyotoob wa9tama bghina kanjbdo lvidyo 3aafak akhti Halima darori dirina vidyowat flyotop Ama tlfaza s3ib wm3a sb3a dik sa3a kankono kanwjdo lftor machi ntfarjo b3da tilifone kathatih hadak wtkhdmi
"Translation:
God bless you, you deserve all the best, but we hope you also post these episodes on YouTube so we can watch them.",Tbarklah machaalh 3lik tstahli kol kher mais ntmnaw dewzi hala9at hta f youtube bach nchofohom
"Hello, for those outside, read our 6 promotion offer for 99 dirhams. Welcome to our Facebook page, Mélangé Shop. Welcome.",Slm li bara 9ar3i la3triya dayl 6 promotion 99dh merhba ha fcb daylna mélangé shop merhba
"Hello, please. I'm in Meknes and I want to buy chebbakia sweets. How much are they and what is your phone number? Thank you.",Salam affak ana f Meknes ou brite lahaloua chebbakia . Chhale ou numero telephone dialak Merci
"May God protect you, Lalla Halima Al Filali, the epitome of the free Moroccan woman.","Allah y Hafdak Lala Halima Al Filali , NI3MA AL Maraa Al Hourra Al Maghribia ."
"I want to lose just half a kilo, give me the exact quantities, please. 🙏",Ana bghit ndir rir Nas kilo 3tinu lma9adir bdabt layhfdak 🙏
The class that hasn't gone yet 👉🏻🏳️‍🌈🇩🇿,Lf9as li mazal madawch 👉 🏻 🏳 ️ ‍ 🌈 🇩 🇿
"O Allah, send prayers and peace upon our master Muhammad, his family, and his companions, and send abundant peace. Amen.",Alahouma sali wa Salim ala sayidina Mohamed wa alihi wa sahbihi wa Salim taslimane katirane amine 🤲 ❤ ️ 👍 🌹 🙋
I wish I could control myself in that situation.,Yarit kon kano yotbrzat kamlin fhalak
I am a girl and I contacted you.,Ana bnt okantsata 3lik
"Please, my sister Halima, may God give you what you desire. For your sake, please subscribe to my channel. May God make it easy for you.",3afak akhti halima lah i3tik manwiti fkhatrk dkhli diri liya abonnement lah ishl amrk
"Congratulations to you, blessings upon you, we learned a lot of good things from you, may God grant you success.",tbarklah 3lik mbrok 3lik t3almna menk bzf hajat laywef9k
"I'm going in, but I know it's not you even though it has your name. Yes, there are bad topics.",Ana dakhlalo walakin 3arfa bli machi nti wakha fih smytk ah fih mawadi3 khayba
May God grant you success. We have learned a lot from you. May God ease your affairs.,Lah iwaf9k t3lmna mnk bzf lah isahl amrak
Thank you Halima for the work that benefits us a lot 🥰 🥰 🥰 🥰,Choukran Halima 3la lkhadma dyal kanatnaf3o biha bazaf 🥰 🥰 🥰 🥰
"You are dear to me, sister Halima.",Raki 3ziza khti halima
They're talking about the price increases? People are running a campaign on Facebook. We won't let them exploit your name.,Kandan kathadri 3la ziyadat as3ar ? Nas dayrin hamla sur fc . Mamnha9homch ystaghlo ismak
"I'm sorry, but the input you provided does not contain any Moroccan text that I can translate to English. The input consists only of emojis and what appears to be an HTML link. There is no meaningful sentence or phrase for me to translate.","😅 😢 😢 😅 🎉 😅 😢 < a href = "" https : / / www . youtube . com / watch ? v = QPPBjSIEP7I & amp ; t = 193 "" > 3 : 13 < / a > ❤ 🎉 😅 😢"
God has willed it ❤ ❤ ❤ ❤ ❤ ❤,Machallah ❤ ❤ ❤ ❤ ❤ ❤
That's none of your business.,Warah bayn machi dyalk
"Today, he wrote again and tried the recipe. It came out great. Congratulations to you. I wish you more success, God willing.",Lyouma 3ad ktab wjerebt lwsfa jat tamhm9 tbarklah 3lik kantmena lik lmaazid men tàlo9 inchaa lah
"Sister Halima, please make us something sweet with cinnamon, may God reward you with all the best, oh Lord.",Khti hlima dirilna xi hlwa blganach lah ijazik kol khir yarbi
"Hello Halima, my sister. I've been following you since the beginning of your journey. Everything about your recipes is successful 1,000/100. May God perfect you. Don't worry about people. Leave them alone. Don't look at them or respond to them with videos because they just want to make fun of you because they live only through laughter and mockery on YouTube. May God perfect you, my sister. We are learning a lot of recipes from you 😘😘😘❤️",Slm halima Ana khati ran metb3ak man awol masira deyalk m39ola kolechi wasfat deyalk najhin 1 . 000 / 100 Allah kemal 3alik maswo9ich bnadm nesaba sire cheki bihom 3an 9adaaa omatrdich 3alihom bi videoat hit barin tayhok hit Homa 3achin rire bi choha fi YouTube Allah Kamel 3alik akheti rahena te3lmna mank bezzaf deyal wasfat 😘 😘 😘 ❤ ️
"May God punish them
People are so unfair these days
You're a beautiful gazelle, mashallah, and I'm just an insignificant bug trying to get closer to you
Continue on your path, those people are just envious of you",Lah yakhd fihom < br > L7a9 bachar makay3tiw tawahd bti9ar < br > Nti ghrzala mashallah wana fo9ma nbghri cho wasfa kanji nichan l3ndk < br > Kmli tri9k hadok gi lm7sada
"May God be with you, my love.",Machaa alahe 3alik habebeti
"Your success deserves more followers. May all women follow you to benefit from you, and we will repay you even a small part of the great service you are providing us . . . 👍 👍 👍",bitawfi9 mazid mina taalo9 itab3ok kol nisae litayastafdo manak wnrado lik walaw joze sghair man lkhidma lakbira likat9admiha lina . . . 👍 👍 👍
I use butter.,ina zebda nsta3mlo
"I saw that group at first and thought it was yours, but then I realized it's not yours because they post nonsense there. I know you're a very honest person, so I'm sure it's not yours.",Hta ana chft dak group flwl kayhsabni dyalk mn b3d 3ad 3rft rah Mach dyalk hit kaypostiw fih chi tkhrbi9 ana kan3rfk insana mtkhl9a bzaf t2kd bli machi dyalk
Congratulations,1000 mabrok
"You're a human, may God bless you, and people want to cause trouble, but God will deal with them.",Nti ensana tbrklah 3lik wnas bagya lftna layakhd fihom lha9
"I can knead it at night and leave it until the afternoon, and it will be complete or it will ferment.",Momkin n3jnha flil o ta ghda fl3chia o nkaml ola atkhsar
Always creative,Dayman mobdi3a
"A wonderful woman, I love your videos 🙏 🙏 🙏 👍",Une femme formidable j adore tes vidéos 🙏 🙏 🙏 👍
Great 👍 👍,Top 👍 👍
"Thank you very much for this delicious recipe, keep up the good work ❤ ❤",Merci beaucoup pour cette recette délicieuse bonne continuation ❤ ❤
"Hello, I'm following you on Yamaha. I've done it again now, God willing, I've started doing Libya like, please.",Salami 3alikom an mtbi3tkom an Yamaha drte Tanya al9n ylhe bdite Dior Libya layke 3afakom
Copy paste on Algeria,copie coller 3la 3ljzair
"Hello sister Halima, I hope you are doing well. Please, please, I want to ask you, it's my first time making a cake and I want to make a kilogram of it. Tell me how much I should put of each ingredient and give me all the exact quantities for a kilogram of each thing, but I don't know the quantities. I hope you answer me. Thank you.",Slm khti halima ntmna tkoni balf khayr . 3afak 3afak bkhit ntlbk ana awl mra bkhit nsayb slou obkhit ndir kilo flhaja dgolili ch7al thin ndir otgolili lmhm lma9adir kolha mdbota dyal kilo mn kol haja mais thin ma3rftch ntmna djawbini khantsnak
"God bless you
And where did you buy the mold
Thank you",Salale TbarkAllah 3likz < br > Ou tu as achete le moule < br > Je vous remercie
"May God give you health and well-being, I was doing it too.",Machaa llah 3like llah y3tik saha ol3afiya ya rabe hta ana konte kandirha
Halima Fillali is a big fan of Algeria,Halima Fillali top une fan d & # 39 ; Algérie
"God willing, I will try it.",Ncha2 . lah . njarabha
"God bless you, you deserve it.",Machallah 3alik tstahli
"It's true, I also found it weird.",C vrai moi aussi j ai trouvé bizarre
I didn't do his homework for him.,3alx madrtilihx lwz
Are you using semolina?,Kullandığınız irmik mi .
"God bless you, my sister. I swear, you are amazing. God bless you. I am following you. You are always number one on the channels, and always beautiful. 👍🏼❤👍🏼🌹🌹",Macha Allah 3lik akhti wallah ila wa3ra nti tbarkallah 3lik hna ana mtab3ak Oman awail dyalak fl9anat odima jim 👍 🏼 ❤ 👍 🏼 🌹 🌹
Please subscribe ❤,Abonné svp ❤
This way of working the dough is Turkish and these cakes are Turkish. You don't stop stealing recipes from all over the world and you say it's yours. Stick with your Kaab el Gzal and Chebakia.,CETTE FACON DE TRAVAILLER LA PATE EST TURQUE ET CES GATEAUX SONT TURQUES VOUS N ’ ERRETEZ PAS DE VOLER LES RECETTES DU MONDE ENTIER ET OUS DITES QUE C ’ EST A VOUS RESTEZ AVEC VOTRE KAAB EL GZAL ET CHEBAKIA
Well done,Mchalah 3lik
May God give you health.,Lah i3tik saha
"Hello and blessings to you, sister Halima. Congratulations! 🌹 👍 👍 👍 👍 👍 👍 ❤️ ❤️ ❤️ ❤️",Salam wa3alaykoum tbarkalah 3lik khti Halima Mabrok 🌹 👍 👍 👍 👍 👍 👍 ❤ ️ ❤ ️ ❤ ️ ❤ ️
May he grant you goodness in the end.,Lahe yekemel 3lik bel 5ere
"I want to fix my car in stages due to my financial situation, but I can't cry over it much because it makes me forget.",Bghit nssayb chbakiya abra marahil nadaran lssyatik likanani mno makankadch nbka galssa bzef bach katnasshini
"God is sufficient for me and He is the best disposer of affairs. Here we trust in you, my sister. ❤️😘😘😘",Hasbiya llah wani3ma lwakil hna kanti9o fik akhti ❤ ️ 😘 😘 😘
I went to Essaouira,Top bikoli Saraha
First scene,Awal mochahadaa
God bless you 👍,Tabarakellah alik 👍
May God protect you and protect your parents 🤲 🤲 🤲 🤲 💋 💋 💋 💋 💋 💋 👍 👍 👍 👍 👍 👍 👍,Llah ihfede wihfdelek welidateke 🤲 🤲 🤲 🤲 💋 💋 💋 💋 💋 💋 👍 👍 👍 👍 👍 👍 👍
"You deserve all the best, honestly.",Bravo 3lik tstahli kol khir saraha
Thank you so much and all your compliments are nice.,Kanhma9 3lik bzaaaf okolchi wasafatk zwinin
My brother is in Fes.,Ah kheti kayen fe lefayes
You are the best YouTuber ❤ ❤ 🎉 🎉,Saraha ahsan yutobrz ❤ ❤ 🎉 🎉
May God bless you for us,Top lykhlik lina
"Hello and peace be upon you. Excuse me, I tried it myself and it didn't work, and it came out very harsh on me. Why???",Salam ou 3alaykoum smahli ana jarebta benefs ma9ader o kherjetli 9as7a bzzzzfff 3layax ? ? ?
"Glory be to God, I always tell them this account is not yours and I always write it to them.",Sobhana allah dima kanghol had lhsab mchi diyalk o kanktbha lihom dima
Hello,Mbrek
"May God give you health, my dear. May God protect you. May God help you. Good night.",3tak allah assaha hbibti allah ihafdek 🤲 A3anaki allah 👍 🌙 😘 ♥ ️ 🌹 🫶
"You deserve a lot of ""I love you"" my sister Halima, may God protect you wherever we meet, I'm coming over to your place hahaha",Tstahli ktr mn j & # 39 ; aime akhti halima lah ihfdk finma kantlf kaandkhl 3ndk hhhhh
May God complete your blessings.,Mra mitaliya lah ykaml 3lik
"Please, girls, pray for my son. He has tonsillitis and can't get rid of the fever. I don't know how long I can handle this. May God answer your prayers.",3afakom albnat d3iw m3a wldi fih lhla9m o mabrach ibra mnhom chhal moda man9drch nhydhomlo 40d 3wa mostajaba bidn lah
"God bless you, sister Halima. May God grant her rights in the darkness and may God protect them.",Tbarklah 3lik khti halima olah yakhd lha9 fdalm olah isrk 3lihom
Please make us some fish soup.,ﺩﻳﺮﻱ ﻟﻴﻨﺎ soupe poidson stp
"May Allah reward you with goodness, my dear, always. I tried to describe your qualities, even if they are not enough. Thank you very much. May Allah protect you. 🤲 In Allah's safety. 👍😘♥️🌹🌙🫶",Jazaki allah Kheirane hbibti dayemane Kane jarab wassafatek walaw 2 manhoume chokrane bezaf allah ihafdek 🤲 < br > fi Amani Allah 👍 😘 ♥ ️ 🌹 🌙 🫶
"Hello sister Halima, can I use a cup of sesame seeds and a cup of almonds?",SalamAlaykom khti halima na9dar ndir kass zanjlane o kass louz ?
"Mrs. Halima, you are excellent. I will make this magnificent recipe soon.",Mme Halima vous êtes excellente < br > Pour bientôt je ferai cette magnifique recette .
"Oh Lord, enlighten the path of everyone who has supported me and encouraged me. May they be happy and may you fulfill their wishes, oh Lord.",Yaaaarbi tnouar tri9 kol wahad dkhal 3ndi o dar aboni o ochja3ni lah ifrho o ih9a9 lih omnito yaaaarbi
May God bless you 👍 👍,Tabarka Allah alyk 👍 👍
"You are a respectable lady, we trust you. The dogs bark and the caravan passes. May God protect you.","Vous êtes respectueuse madame , on vous fait confiance . Les chiens aboient et n & # 39 ; a caravane passe . Hafidakki allah ."
"All the recipes are delicious. God bless you, sister Halima.",Kol wasafat kaysd9o . machaa llah 3lik khti halima .
"My dear sister, please make me a sausage tagine. It makes my legs shake a lot when I crave it. I hope you fulfill my request because you don't have any opportunities.",Khti hlima drilina 3afak tajin dyal sousit kyjiboli rjli bzaf knhir fih ntmna tlbi tlb dyli hit m3ndkch f9anat
Tomcat,9otr 9alab
You're right! We must seek justice and not remain idle. And always mention it in your videos.,Tu as raison ! Il faut saisir la justice il ne faut pas rester sans rien faire . Et toujours le mentionner dans tes vidéos .
"Yes, it's true that beldi (homemade) butter doesn't come in packages.",khti Halima 3afak jawbini wach bsah zabda beldia makatjich fsfouf
"May God give you health, sister Halima.",Jarbthom jaw fanin lah i3tik saha khti halima
"Sister Halima, I can make the dough. Should I let it rise first or fill it and then let it rise? Please give me the measurements for the dough and the filling. I want it to turn out nice in both taste and appearance.",Khti halima n9dr ndir ilan wch n7mro 9bl wla tant7no 3ad n7mro wsvp l9yas lindir dyal ilan wnaf3 whabt 7lawa fi joj kulo jnjlan
"May God give you health, sister Halima.",Allah y3tik sha khti halima
Congratulations darling ❤️❤️❤️❤️,Félicitations hbiba ❤ ️ ❤ ️ ❤ ️ ❤ ️
"Thank you very much, my sister.",Merci beaucoup ma sœur
"God bless you, may God give you health, excellent 👍 🌹 👍 🌹 👍 🌹 👍 🌹 👍 🌹 ❤️ 👍 🌹 💋 💓 💕 ❤️ 👍 🌹",Tbark Allah Alik Allah yaatik assaha bayne momtaz 👍 🌹 👍 🌹 👍 🌹 👍 🌹 👍 🌹 ❤ ️ 👍 🌹 💋 💓 💕 ❤ ️ 👍 🌹
"You're so annoying. I'm going to hit you hard. I'm telling you, my brother. I'm beautiful. Bye.",Nti . n9iya . on9 . tabkhk . bzaffffffff . nabrik . akhin . ana . jamilanmn . tata
Bless you,😋 tbarkilah 3lik
"God willing, I will try them the way you made them, may God reward you. Because the recipe from the YouTube sisters didn't turn out for me the way it looked in their video. I hope mine turns out like yours.",MachaAllah tbarkllah ghdi njarbhom kifma darthom yarbi jawli kfik . Hit hrab dyl ba3id akhwat fi YouTube sarha makhrjolchi kima biyno fi vidoe dyalhom kantmna dyalk ykhrajli kima nti
7:49,"< a href = "" https : / / www . youtube . com / watch ? v = kpwLoiC14KE & amp ; t = 469 "" > 7 : 49 < / a >"
Is it possible to cook in the oven? Thank you.,Wach momkin teib f lfarran . merci
"Congratulations to you, sister Halima, always top!",Tbarkilah 3lik khti Halima dima toooop
"I hope you're doing well, God willing.",Bitawfi9 inchaallah
"Where are you, Halima?",Finek ya Halima
"May God be with you, my sister Hakima. You are a very, very respectable woman.",Macha llha 3lik akhtie hakima rakie imra mohtarma bazaf bazaf
"Please give me the news, sister.",Afak khti 3tita l3bar
"Here, there are only walnuts for Ramadan sweets.",hena liflrorba makayn righ louz roumi
"May God grant you good health and may your craving be satisfied, God willing, by bringing me some of that food.",Bsaha waraha chhiwatk taychahiw lah ijib Liya chi nsiba bhalk
"Thank you, sister Halima. You deserve all the best.",Tbarkallah 3lik khti halima tastahli kol khir
God bless you ❤️ we must watch the show,Tbarklah elik ❤ ️ daroriii nchoufou l ’ émission
"May God bless you, my sister. I'm lost abroad and couldn't find anyone to prepare it for me. I came across your method and liked it, so I want to try it. I'm craving it, please sister, can it be prepared in the microwave? I hope you respond to me. May God reward you abundantly.",Tbrkllh 3lik akhtii ana kantwaham f ghorba ma l9it chkon ysaybhaliii ana ndkhol 3andak 3jbtnii tari9a njarbha kantwaham 3liha 3afak akhtii wach t9dar ntabybha f micrond ntmaba tjawebini jazak lah kharan
There is no power or might except with Allah.,La hawla wala qowata illa billah .
You are known for your good manners and no one can change our view of you. You will always remain top.,NTI me3rofa beleadab dyalek wmayemken HTA lchi wahed ybedel Nadra dyalna tijahek Ghadi tebkay dima top
"My sister Lala Halima, you are just a wonderful, magnificent, very respectful woman, nothing to say. I adore you. I make all your recipes. There will always be jealous people. You have people who love you a lot ❤❤❤❤❤❤❤❤❤",Ma sœur lala halima tu es juste une femme formidable magnifique très respectueuse rien à dire moi je t & # 39 ; adore je fait toute tes recettes les jaloux il yaura toujours ta des gens qui t & # 39 ; aime bcp ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤
"I peel the onion and chop it finely. Salt. A lot of skin. Thyme, butter, cook it until it dries, it becomes transparent. At the end, I add the proportion that doesn't like onion raw, but roasted. It shouldn't be too hot in the pan because when the steam comes out, it burns, it becomes bitter.",Ana lbasla kanchaldha ndirha bota mhila . Ml7 . Skin jbir . Za3tar sman taibiha 7ta tnchaf katji wa3ra osi7ia bnsba li makub5uch lbasla 7lwa ama lmsmn MN Las n ys5on f lma9la 7i mni kaytfwar lbo5ar kai3argo kaiji m3ajan
"May God always grant you good health, my dear.",Llah ye3tek seha daeman motaali9a
"Well done, bless you, delicious 👍 👍 👍",Bravo tbarkellah alik délicieux 👍 👍 👍
"Hello sister, please answer us, we want something.",Slm khti 3fak jwabina baghina Chi haja
"I always share my food with you my friend, because you're my best friend.",Had group 9dim sahabli dyalak ana dima kanbartaji fih 9anati
My fiancé told me for the first time to try your recipe for a face mask so that my face glows with him and his family.,Ana hadi awl mara kaygoli khatibi diriliya chabakiya awgha njarb alwsfa adylk kntmna athmrli wajhi am3h awm3a 3ailto
"Solde 🥳🥳🥳🥳
🌲🌲🌲🌲🌲🌲🌲🌲
🌹 3 products for only 1 dirham
🌹 Bracelet + Anklet + Perfume
🌹 For women 🥳🥳🥳🥳
🌹 Sizes available 6 / 6.5 / 7
🌹 Free delivery 🛵🛵 to all Moroccan cities and villages",ﺻﻮﻭﻭﻭﻭﻭﻭﻭﻭﻟﺪ 🥳 🥳 🥳 🥳 < br > 🌲 🌲 🌲 🌲 🌲 🌲 🌲 🌲 < br > 🌹 3 ﺩﻳﺎﻝ ﺍﻟﻤﻨﺘﻮﺟﺎﺕ ﻏﻴﺮ ﺏ ﺩﺭﻫﻢرهم < br > 🌹 ﺳﺮﺗﻠﺔ + ﺧﻠﺨﺎﻝ + ﺭﻳﺤﺔ < br > 🌹 ﺩﻳﺎﻝ ﺍﻟﻨﺴﺎﺀ 🥳 🥳 🥳 🥳 < br > 🌹 ﺍﻟﻌﺒﺎﺭﺍﺕ ﻟﻔﻴﻬﺎ 6 / 6 . 5 / 7 < br > 🌹 ﺗﻮﺻﻴﻞ 🛵 🛵 ﻣﺠﺎﻧﻲ ﻟﺠﻤﻴﻊ ﺍﻟﻤﺪﻥ ﺍﻟﻤﻐﺮﺑﻴﺔ ﻭﺍﻟﻘﺮﻯ
They don't have anything respectful to say. Success makes people jealous. May God guide His creation.,Insana mohtarama ma3andhom maygolo najah kaydir lghira finas lah yhdi makhla9
Good luck and all the best 👍👍❤️🇨🇵💓🤝,Bonne chance et bonne continuation 👍 👍 ❤ ️ 🇨 🇵 💓 🤝
"Hello, my sister. May God protect you. I want to take hashish, please, so you can advise me. You have experience. Does it have a lot of money or just one? Please.",slm khti halim llah yhfdak bghit nkhad hachwar 3afak bach tnshini nti 3ndak trba wach lifiha bzaf dryos wla ghir lifiha wahad 3afak
"Send us some of Halima's cooking, we don't want to stay without appetizers for Ramadan. Halima is ranked number 1 in cooking on YouTube.",Wab3do Lina mn Halima wch bghitona nb9aw bla chehiwat ormdan Jay Halima ra9m 1 f tbakh youtub
Sorry if I didn't make a fuss.,Ma3lich Ila madartch jaljlan
"Lala Halima, you were radiant on the show ""Ahsan Patissier"" 🌹",Lala halima konti mnawra f barnamaj ahsan patissier 🌹
"I entered when I saw your name, but when I saw the topics, they had nothing to do with cooking, so I left. We learned a lot with you here. May God protect you. ❤",Hta ana dkhelt fach chft smytek mais fach chft les sujets ma 3ala9a m3a tabkh khrejt hna t3lmna m3ak bzaaf lah ihfdek ❤
May God protect you and help you 💯 💯 💯 💯 💯 💯 💯 💯 💯 💯 👍,Rabí yehfdek wui ye3awenk 💯 💯 💯 💯 💯 💯 💯 💯 💯 💯 👍
"May Allah reward you with goodness, my dear. May Allah protect you, keep your loved ones for you, and grant you strength. Thank you very much. May Allah help you.",Jazaki allah Kheirane hbibti allah ihafdek wikhalilik ma3az3lik chokrane bezaf 😋 🤤 A3anaki allah 👍 😘 ♥ ️ 🌹 🫶 🌙
"Sister Halima, can we cook it in a crêpe maker?",Khti Halima wach n9adro ntaybouh f crêpeyaire
"Thank you so much Halima
I really love your recipes ❤❤",Mille mercis Halima < br > J & # 39 ; aime beaucoup vos recettes ❤ ❤
"Halima, I want you to solve this problem that keeps recurring. Always mention your official accounts in every video and confirm that the others are not mine.",ousatada halima bach tfaday had mouchkil yt3awd 3oudi dima f kola vedio dikri hisabat rasmiya dyalk ou 2ikdi mn ghir hado rah machi dyali
"May God grant you success, respected human ❤ ❤ ❤",insana mohtarama lah iwaf9ak ❤ ❤ ❤
"I apologize, but ""Nose"" is already an English word and does not require translation from Moroccan Arabic to English. Please provide a Moroccan Arabic sentence or phrase for me to translate into English.",Nose
"My sister, you subscribed to me. I want God to protect you from all evil, elevate your status, and provide for you from where you do not expect. May He keep away from you the devils of humans and jinn. God willing, He will put your heart at ease and make all your days full of joy and happiness.",ﺳﻴﺮﻱ ﺃﺧﺘﻲ ﺇﻟﻰ ﺩﺭﺗﻲ ﻟﻲ ﺃﺑﻮﻧﻲ 🔔 ؛ ﺑﻐﻴﺖ ﺭﺑﻲ ﺇﺣﻔﻈﻚ ﻣﻦ ﻛﻞ ﺷﺮ 😇 ﻭﻳﻌﻠﻲ ﻣﻘﺎﻣﻚ ﻭﺇﺭﺯﻗﻚ ﻣﻦ ﺣﻴﺚ ﻻ ﺗﺤﺘﺴﺒﻲ 🌠 ﻭﺇﺑﻌﺪ ﻋﻠﻴﻚ ﺷﻴﺎﻃﻴﻦ ﺍﻹﻧﺲ ﻭﺍﻟﺠﻦ 💌 ﻭﺇﻥ ﺷﺎﺀ ﷲ ﺇﺭﻳﺢ ﻗﻠﺒﻚ ﻭﺇﺧﻠﻲ ﺃﻳﺎﻣﻚ ﻛﻠﻬﺎ ﺃﻓﺮﺍﺡ ﻭﻣﺴﺮﺍﺕ 🙏 💕 🌹 ✨
Well done; thank you,bravo ; merci à vous
"Translation:
God bless you, you are a respectable woman. God bless you, Mohammed's mother.",Machaalah 3lik imraa mo7tarama tbarklah 3lik om mohammed
My sister is dear to me. May God be with you. May God guide His creation.,3ziza 3liya akhti rabi m3ak llah yahdi makhla9 🙏 🙏 🙏 🙏
Does the planet go out sometimes?,Wach lablancha katatfa maramara
"I see your videos, they are great, there are only recipes. Don't pay attention to the mean people, let them bray, as they say.",Je vois tes vidéos elles sont super il n ya que des recettes ne fais pas attention aux méchants laisse les braires comme on dis
"Hello 👍 🖖 🤝
⁦ ⬅ ️ ⁩ Free from dangerous fluoride for children
⁦ ⬅ ️ ⁩ Consists of propolis (honey wax + aloe vera + natural mint)
⁦ ⬅ ️ ⁩ Large and concentrated quantity that lasts for months
⁦ ✔ ️ ⁩ Treats gum problems, mouth ulcers and bleeding gums
⁦ ✔ ️ ⁩ Whitens teeth naturally and fights cavities
⁦ ✔ ️ ⁩ Leaves a natural mint scent in the mouth
⁦ ✔ ️ ⁩ Anti-inflammatory for the mouth and removes tartar
⁦ ✔ ️ ⁩ Deep cleaning of the mouth",ﻣﺮﺣﺒﺎ 👍 🖖 🤝 < br > ⁦ ⬅ ️ ⁩ ﺧﺎﻟﻲ ﻣﻦ ﺍﻟﻔﻠﻮﺭﺍﻳﺪ ﺍﻟﺨﻄﻴﺮ ﻋﻠﻰ ﺃﻃﻔﺎﻝ < br > ⁦ ⬅ ️ ⁩ ﻳﺘﻜﻮﻥ ﻣﻦ ﺍﻟﺒﺮﻭﺑﻮﻟﻴﺲ ( ﺷﻤﻊ ﺍﻟﻌﺴﻞ + ﺍﻟﻮﻱ ﻓﻴﺮﺍ + ﺍﻟﻨﻌﺎﻉ ﺍﻟﻄﺒﻴﻌﻲ ) < br > ⁦ ⬅ ️ ⁩ ﻛﻤﻴﺔ ﻛﺒﻴﺮﺓ ﻭﻣﺮﻛﺰﺓ ﺗﺪﻭﻡ ﻃﻮﻳﻼ ﺣﺘﻰ ﺍﺷﻬﺮر < br > ⁦ ✔ ️ ⁩ ﻳﻌﺎﻟﺞ ﻣﺸﺎﻛﻞ ﺍﻟﻠﺜﺔ ﻭﺗﻘﺮﺣﺎﺕ ﺍﻟﻔﻢ ﻭﻧﺰﻳﻒ ﺍﻟﻠﺜﺔ < br > ⁦ ✔ ️ ⁩ ﻳﺒﻴﺾ ﺍﺳﻨﺎﻥ ﺑﻄﺮﻳﻘﺔ ﻃﺒﻴﻌﻴﺔ ﻭﻳﺤﺎﺭﺏ ﺍﻟﺘﺴﻮﺱ < br > ⁦ ✔ ️ ⁩ ﻳﺘﺮﻙ ﺭﺍﺋﺤﺔ ﺍﻟﻨﻌﻨﺎﻉ ﺍﻟﻄﺒﻴﻌﻲ ﻓﻲ ﺍﻟﻔﻢ < br > ⁦ ✔ ️ ⁩ ﻣﻀﺎﺩ ﻟﻺﻟﺘﻬﺎﺏ ﺍﻟﻔﻢ ﻭﺇﺯﺍﻟﺔ ﺍﻟﺠﻴﺮ < br > ⁦ ✔ ️ ⁩ ﺗﻨﻀﻴﻒ ﺍﻟﻔﻢ ﺑﻄﺮﻳﻘﺔ ﻋﻤﻴﻘﺔ
"Thank you so much, you're the best Halima 🥰 🥰 🥰",Tbarkalah 3lik lhir halima 🥰 🥰 🥰
"Sister Halima, God bless you.",Khti halima tabarakaAllah 3lik < br > 🇪 🇸
"May the blessings of the Prophet always be upon you, creator.",Slat 3la nbi 3lik da2iman moubdi3a
Thank you,Tbarkalla3lik
"Greetings, respected human, without flattery, from Saudi Arabia.",Insana mohtarama bi donu mojamala tahiya mn sa3odiya
"Stay no no Halima Filali the best Moroccan YouTuber, may God grant you victory, my sister.",Otbqa la la Halima lfilali ahsssan yutubirz lmrribyat lah inssrk akhtiii
"Hello sister Halima, I am one of your followers. I know you are a reasonable and well-known woman. May God help you and your family. God is great.",Slm khti Halima ana mina lmoutatabi3at dyalk kan3arfek MRA ma39oula wma3rofa 3lik ljidiya lah ynasrek 3likoum wrabi kbir
